Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
127276,B001AYB0AO,A1D977T6YFLOR3,Michael,6,6,5,1295395200,Best. Candy. Ever.,"There is something to be said about this candy.  I had never heard of it before a friend of mine gave me a piece that he had bought overseas.  Quite simply I was hooked at that exact moment.  Today's candies are too pretensive thinking that they have something new and exciting to offer.  Little do they know that Hi Chew was lying in wait.  The candy has a texture that is hard to describe, but imagine biting into a cloud of semi-hard marshmallows but not overbearing in the sweet department.  You need this candy in your life NOW!"
395444,B00016ATBS,A3D6TFYRMIV3ZL,Themis-Athena,10,13,5,1131494400,India's Original Spiced Milk Tea.,"In many languages around the world, ""chai"" simply means ""tea."" In India, however, the word denotes a specialty that to tea lovers even in the West is fast becoming what cappuccino already is to coffee lovers: spiced milk tea.<br /><br />Chai comes in a variety of recipes that differ from region to region, although traditionally it consists of a blend of black tea, rich milk, various spices and a sweetner. The spices most commonly used are cardamom, cinnamon, ginger, cloves and pepper; Tazo's very peppery Chai adds rooibos, vanilla, star anise and chicory to the traditional recipe.<br /><br />You should always have this tea with real sugar, even if you have all your regular tea without any kind of sweetener, because only sugar will bring out the full flavor of the spices. And if you like your store-bought Chai, maybe you'll one day try brewing chai from fresh black tea and spices, too! Namaste ..."
225935,B00473Q55K,A3JD1ZGX8MAJ76,Sunny,1,1,1,1339113600,Be very careful!,"Review of Asian Taste Dried Mushroom, 5-Ounce (Pack of 34), Price: $12.00 ($0.07 / oz)<br /><br />The title is Asian Taste Dried Mushroom, 5-Ounce (Pack of 34), but they mean 34 mushrooms in one pack instead of 34 packs of it. And in fact, there is only 32 mushrooms in one bag. So the price is $12 ($2.4/oz). The price is crazy expensive. And the quality of this product is just fair.<br />Do not buy this one. You can get very good dried mushrooms @ reasonable price from amazon."
562268,B004HOSGWE,A3GV75YMLZA87O,Nora,2,2,5,1254787200,Love These Nuts,"Great flavor. I have always ordered Blue Diamond wasabi almonds but these come in a convenient snack bag I can throw in my purse. My colleagues are always digging around in my purse now because they know I have tasty snacks. So the only drawback is that people want me to share. Which means they are that good! Hey, I should also get a five-star rating for feeding my friends."
491584,B0081QNI8Q,A3I3R2L3JYZTGW,No,0,0,3,1350432000,product is good service is non existant,The product came with a crushed box but was OK condition. I called the Air shop for advice on other products and on what I purchased. I called 3 times and left messages with Scott James the owner and never once had him return a call.
327387,B0016BS3BK,ASA5RSXOAVT12,L. Christensen,0,0,5,1330819200,Mmm mmmm,How can you go wrong with Ghirardelli chocolate? These make the best brownies ever and I've had so many compliments when I make them for anyone. I get them at a better-than-grocery-store price with subscribe and save and they just can't be beat.
77312,B000VK339Y,A2ZPUBQNOEB4I3,ctrl-brk,1,2,1,1322697600,Disgusting,"I was very excited to find this product, having really enjoyed Newman's Own products in the past and coming to trust them.  I am also a firm believer in feeding the best grain free diet to my Labs, and 95% organic beef went well with that.<br /><br />Unfortunately, the product is disgusting.  The consistency of what comes out of the can is disturbing.  Try to imagine dried out peanut butter that is impossible to separate or spread.  No amount of water that I added would allow me to use a fork (and knife) to try to separate the product and mix it with my dry kibble.<br /><br />Instead, I am trying the new Castor & Pollux Organix Grain Free product, and hoping for the best.<br />[...]"
370891,B004Y2T2K4,ALXYMJVLLB10V,jkjmt,1,5,5,1325203200,jkjmt,This was one of two products ordered from this company.  This product came in good condition and my father received it for a Christmas gift.  The other product ordered (blueberry syrup) had leaked.
521854,B000O5DI1E,A35PSQD2XX7W4D,Ryan VanOsdol,0,0,5,1306022400,Dog Loves Them - Highly Recommended,"My dog loves them, what more is there to say. I put in the pills, my dog gulps them down, and we're both happy. Highly recommended."
354570,B000LKU3A6,A2T0LGPLQY2GW,J. Burk,3,3,4,1181779200,Great Tasting Vegan Jerky!,"I was looking for an alternative meat source for a backpacking trip my husband and I are taking soon and discovered this great tasting vegan meat jerky. It tastes great, but is a bit to salty for my tastebuds"
245637,B004OAZ36I,A3CHQ8EGH7NZ37,KRose,0,0,3,1339632000,Yummy Delicious but interesting packaging,"Absolutely love the different flavors of coffee that were in this bundle; very delicious and at a decent price. I honestly was a little surprised that it came in such a big box only for the K-cups to be in a brown bag and not in their own box like you buy at the store. Other than that small quirk, I probably will buy my K-cups from here again but not after looking at other sellers."
496338,B002GC3D8Q,A3O5TCSIRVE6TX,"tennis pal ""mary""",10,11,5,1262995200,expensive shipping,this product must be refrigerated thus has to be overnighted which makes the shipping 3x the price of the product. however it will last in your refrigerator for a year.
141386,B0047RQ9M0,A2F9MJYUAEQ6AD,Jean,0,0,5,1322524800,Smooth and delicious,This is my husbands favorite coffee and it is the best of all the breakfast blends.  Green Mountain really make some great well balanced coffees.  This one is perefct for those who do not like an over powering cup of coffee.
422063,B002OVICJO,A25I5CM0N350MA,C. Lambinicio,0,0,4,1204588800,Crazy for Chicken Treats,"My cat is not what I'd consider a treat cat.  You cannot bribe her with food and she's rather picky.  So when my friends gave my cat these chicken treats for Christmas, I was a bit skeptical.<br /><br />To my surprise and utter disbelief, she goes crazy for these treats! I ordered them online and had to wait four-weeks since they were on backorder.  Maybe all kitties are liking this treat!<br /><br />The backorder issue is my reason for four stars...Otherwise, I'd give it five stars.  In my panic to find more treats in the interim, I found that Whole Foods carries it for ~$10/container."
